soup	noodles	[12182, 14976, 28856, 462, 14300, 19400, 20530, 30741, 33471, 34381, 35337, 4806]
ice	creams	[141, 250, 569, 647, 734, 765, 1222, 2138, 2317, 2566, 3132, 4051, 4060, 4128, 5470, 5824, 5958, 6242, 6578, 6606, 6724, 7324, 7623, 7988, 8829, 8831, 8992, 9126, 9824, 9826, 9828, 10019, 12801, 12957, 13058, 13171, 13718, 14039, 14582, 14932, 15556, 16039, 16470, 16474, 16477, 16708, 18016, 18106, 20191, 20952, 22315, 23084, 23306, 23496, 23542, 23974, 24160, 24191, 24207, 25077, 26577, 27606, 28179, 28442, 28865, 28906, 29019, 29106, 30086, 30452, 30518, 30569, 31537, 32127, 32319, 32917, 49447, 6313, 11875, 2893]
italian	sausage	[25945, 25952, 34985, 36723, 37830, 1142, 2061, 2348, 2364, 7840, 16160, 16499, 16595, 17379, 17708, 18334, 19081, 19232, 19873, 19960, 20826, 21295, 23135, 883, 913, 1093, 1458, 2234, 4572, 4594, 5549, 5681, 7339, 7671, 10601]
grilled	chicken	[8390, 7270, 3698, 9940, 33641, 35758, 7228, 12391, 261, 14526, 14649, 16055, 16868, 13395, 7666, 1036, 1103, 3276, 11414, 12095, 18517, 21548, 21804]
chicken	broth	[10538, 38540, 16600, 10691, 10694, 13749, 14392, 16093, 20967, 35377, 17604, 2346]
yummy	yummy	[11800, 20708, 7277, 17167, 25118, 6661, 26778, 27626, 29749, 31803, 999, 14555, 10525, 20472, 27481, 35479, 10349, 17985, 10873, 2755, 13247, 10172, 16692, 23703, 18388, 2942]
hollenbeck	burrito	[0, 214, 453, 470, 493, 624, 773, 1212, 1243, 1310, 1703, 2212, 2227, 2359, 2560, 2562, 2809, 3179, 3581, 3637, 3912, 3932, 3980, 3984, 4409, 4522, 4544, 4990, 5061, 5385, 5974, 6058, 6128, 6147, 7389, 7529, 7574, 7780, 6826]
cozy	place	[4442, 11997, 8881, 9669, 16326, 19426, 12409, 9840, 11169, 13253, 18733, 22535, 26740]
bring	home	[10219, 17295, 17626, 17797, 21837, 22584, 22621, 27462, 28326, 49782, 16206, 3396, 7491, 26843, 28538, 11646, 12603, 17170, 19795, 2203, 2314, 14180, 7725, 3179, 21889]
breakfast	menu	[25017, 29230, 29536, 43847, 49667, 819, 6335, 6870, 19249, 21836, 23433, 29794, 30813, 2754, 11699, 4453, 6116, 7940, 21749]
fried	fish	[27820, 127, 1133, 1139, 1298, 2351, 3095, 3533, 3800, 4321, 4872, 4974, 5155, 6088, 7027, 10645, 7243, 22404]
burger	place	[1142, 3636, 4813, 5891, 6204, 6398, 7287, 7616, 8196, 9108, 9357, 9443, 10047, 11536, 11640, 12258, 13315, 13431, 14196, 14434, 16190, 16519, 16856, 16909, 17212, 17706, 17928, 17956, 18701, 19560, 20925, 21208, 21212, 22117, 10581]
